ID_numeric,fixed_name,filepath,loadImg,type_score,label,label_complexity,is_monster
2,kiwi,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/kiwi.png,<Surface(64x64x32 SW)>,0,pob,2,0
9,hen,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/hen.png,<Surface(64x64x32 SW)>,0,wuff,2,0
39,dragon,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/dragon.png,<Surface(64x64x32 SW)>,0,orco,3,1
42,swamp-monster,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/swamp-monster.png,<Surface(64x64x32 SW)>,0,bessproid,4,1
15,squirrel,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/squirrel.png,<Surface(64x64x32 SW)>,0,piffbo,3,0
24,hornhead,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/hornhead.png,<Surface(64x64x32 SW)>,0,yoillanica,6,1
5,owl,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/owl.png,<Surface(64x64x32 SW)>,0,kop,2,0
12,frog,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/frog.png,<Surface(64x64x32 SW)>,0,schooble,4,0
29,cyclops,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/cyclops.png,<Surface(64x64x32 SW)>,0,blop,2,1
11,fox,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/fox.png,<Surface(64x64x32 SW)>,0,doy,2,0
6,panda-bear,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/panda-bear.png,<Surface(64x64x32 SW)>,0,stepron,4,0
7,penguin,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/penguin.png,<Surface(64x64x32 SW)>,0,shishin,4,0
8,snake,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/snake.png,<Surface(64x64x32 SW)>,0,jippa,3,0
