animal_ID,ID_numeric,is_monster,two_letter_words,one_syllable_words,two_syllable_simple,two_syllable_long,three_syllable_words,four_plus_syllable_words
cat,1,0,ut,gaz,inat,stepron,repurip,aggenestob
giraffe,2,0,ik,jix,orco,dracoo,opatin,hoplaticat
kiwi,3,0,ub,kop,fakki,pheten,specanti,woruppente
monkey,4,0,ni,pid,jasi,rasenc,pullarmo,yoillanica
octopus,5,0,mu,rup,jippa,humvag,flumserlit,tedgelasti
owl,6,0,li,pob,biple,juspog,drillio,quiderldatto
panda-bear,7,0,fo,pij,piffbo,ackspor,hubingo,smatulita
penguin,8,0,bo,pef,udmik,wattegg,yugelta,myocalosi
snake,9,0,bi,plag,mekky,shishin,tufflebore,callaboro
gobbler,10,1,ba,plun,uppin,bessproid,gundeffin,pungomero
pawsie,11,1,hu,pluff,chiffa,schooble,norpellin,pengimera
antennae,12,1,ji,bint,nurti,luggrog,hogmulner,punellogbab
gangly,13,1,ko,blop,lorga,waldrim,worplenerp,snerplemorka
buggo,14,1,ki,clug,arbo,hootkan,wucherniss,
jangly,15,1,di,wuff,hibble,jungoid,plugertnet,
girthman,16,1,mo,doy,,,,
cthulhu,17,1,mu,,,,,
hornhead,18,1,ol,,,,,
gumbo,19,1,og,,,,,
tentliclor,20,1,ib,,,,,
santelmo,21,1,ob,,,,,
fluff,22,1,ab,,,,,
cyclops,23,1,ef,,,,,
pellet,24,1,af,,,,,
mjolnir,25,1,,,,,,
blobber,26,1,,,,,,
cake,27,1,,,,,,
daruma,28,1,,,,,,
whatevs,29,1,,,,,,
greeny,30,1,,,,,,
slime,31,1,,,,,,
tree,32,1,,,,,,
dragon,33,1,,,,,,
alien,34,1,,,,,,
pastafarianism,35,1,,,,,,
swamp-monster,36,1,,,,,,
